defined_class	defined_class_label	population_size	wiki	parent_class_label
AfPO:0000215	Halfawieen			Nubian Eastern
AfPO:0000245	Antankarana	0.05 million	https://en.wikipedia.org/wiki/Antankarana	Malagasy
AfPO:0000150	Gurunsi	0.8 millions	https://en.wikipedia.org/wiki/Gurunsi_peoples	Gurma
AfPO:0000187	Pygmy Eastern		https://en.wikipedia.org/wiki/African_Pygmies	Eastern African
AfPO:0000373	Bari	0.475 millon	https://en.wikipedia.org/wiki/Bari_people	Nilotic Eastern
AfPO:0000179	Nankani			Frafra
AfPO:0000056	Maasai	0.9 millions	https://en.wikipedia.org/wiki/Maasai_people	Nilotic Eastern
AfPO:0000385	Beja	2.8 millions	https://en.wikipedia.org/wiki/Beja_people	Cushitic Eastern
AfPO:0000384	Agaw	1 million	https://en.wikipedia.org/wiki/Agaw_people	Cushitic Eastern
AfPO:0000198	Luo	Nilo-Saharan, Luo, River-Lake	https://en.wikipedia.org/wiki/Luo_peoples	Nilotic Eastern
AfPO:0000362	Shilha	Afro-Asiatic|Berber|Northern|Atlas		Berber Northern
AfPO:0000060	Nama	0.13 millions	https://en.wikipedia.org/wiki/Nama_people	Khoisan South
AfPO:0000290	Beti-Pahuin	3.3 millions	https://en.wikipedia.org/wiki/Beti-Pahuin_peoples	Bantu Western, Bantu Central
AfPO:0000183	Khoisan Eastern	0.4 million	https://en.wikipedia.org/wiki/Khoisan	Eastern African
AfPO:0000523	Anaang@en	2.6 million	https://en.wikipedia.org/wiki/Anaang_people	Western African
AfPO:0000084	Bulu		https://fr.wikipedia.org/wiki/Boulou_(peuple)	Beti-Pahuin
AfPO:0000088	Kikuyu	5.3 millions	https://en.wikipedia.org/wiki/Kikuyu_people	Bantu Eastern
AfPO:0000299	Tikar	0.025 million	https://en.wikipedia.org/wiki/Tikar_people	Bantu Central
AfPO:0000524	Baule@en	5 millions	https://en.wikipedia.org/wiki/Baoulé_people	Akan
AfPO:0000391	Amhara	24 millions	https://en.wikipedia.org/wiki/Amhara_people	Semitic Eastern
AfPO:0000056	Maasai	0.9 millions	https://en.wikipedia.org/wiki/Maasai_language	Nilotic Eastern
AfPO:0000186	Semite Central		https://en.wikipedia.org/wiki/Semitic_people	Central African
AfPO:0000209	Ari	0.462 million		Eastern African
AfPO:0000295	Moghamo	0.018 million	https://fr.wikipedia.org/wiki/Moghamo	Bantu Central
AfPO:0000374	Acholi	2 Millions	https://en.wikipedia.org/wiki/Acholi_people	Luo
AfPO:0000260	Zarabe		https://en.wikipedia.org/wiki/Zarabes	Eastern African
AfPO:0000541	Itsekiri@en	2.7 Million	https://en.wikipedia.org/wiki/Itsekiri_people	Western African
